pruning_level,scenario,masking_mode,pruning_method,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse,top10_coordinate_ratio,top10_superordinate_ratio,top10_domain_ratio,noise_floor_top1_acc,noise_floor_mrr,noise_floor_entropy,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality,depth_zone
0.0,joint,static,l1_unstructured,0.5556944608688354,0.5556944608688354,0.7265277777777778,0.9356944444444445,0.6713155143139147,1.9807963371276855,1.0,1.0,1.0,1230,1506,224,239,0.3061111111111111,0.8252083333333333,0.9221944444444444,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5459090909090909,0.5710714285714286,-0.025162337662337664,early
0.05,joint,static,l1_unstructured,0.5561110973358154,0.5561110973358154,0.7309722222222222,0.9377777777777778,0.6721205865657394,1.9824469089508057,0.9997819662094116,0.9992038607597351,0.9595277777777778,1259,1489,208,240,0.30713888888888885,0.8260555555555557,0.9237222222222222,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5465909090909091,0.5710714285714286,-0.024480519480519436,early
0.1,joint,static,l1_unstructured,0.5600000023841858,0.5600000023841858,0.7318055555555556,0.9365277777777777,0.6759241704123771,1.9507662057876587,0.995660662651062,0.9943408966064453,0.8464722222222223,1237,1474,219,238,0.3097361111111111,0.8265555555555557,0.9256388888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5493181818181818,0.5767857142857142,-0.02746753246753242,early
0.15,joint,static,l1_unstructured,0.5693055391311646,0.5693055391311646,0.7355555555555555,0.9388888888888889,0.6859583405642853,1.957703709602356,0.9715293645858765,0.9894543290138245,0.6593888888888888,1197,1464,188,252,0.31225,0.8203611111111112,0.9256388888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5506818181818182,0.5985714285714285,-0.04788961038961037,early
0.2,joint,static,l1_unstructured,0.5838888883590698,0.5838888883590698,0.7473611111111111,0.9343055555555555,0.7010678782393329,2.138195276260376,0.9158032536506653,0.9838209748268127,0.476,1177,1346,221,252,0.31201388888888887,0.8040972222222222,0.9221944444444446,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5615909090909091,0.6189285714285714,-0.05733766233766224,early
0.25,joint,static,l1_unstructured,0.5575000047683716,0.5575000047683716,0.7186111111111111,0.9197222222222222,0.6778819105906931,2.3619463443756104,0.8476792573928833,0.9682508707046509,0.3372222222222222,1160,1448,300,278,0.3005694444444445,0.781513888888889,0.9165694444444444,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.5402272727272728,0.5846428571428571,-0.04441558441558435,early
0.3,joint,static,l1_unstructured,0.4923610985279083,0.4923610985279083,0.6580555555555555,0.8956944444444445,0.6195419567645651,2.6228363513946533,0.7908652424812317,0.9540601372718811,0.2559444444444444,1193,1711,464,287,0.28923611111111114,0.7668055555555555,0.9201805555555556,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.4706818181818182,0.5264285714285715,-0.05574675324675327,early
0.35,joint,static,l1_unstructured,0.3952777683734894,0.3952777683734894,0.5881944444444445,0.8822222222222222,0.5328115204436683,3.007288932800293,0.7127828001976013,0.9331868290901184,0.184,1389,2117,549,299,0.2708333333333333,0.7660000000000001,0.9215138888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.3563636363636364,0.4564285714285714,-0.10006493506493502,early
0.4,joint,static,l1_unstructured,0.3008333444595337,0.3008333444595337,0.4811111111111111,0.88,0.43678146567665144,3.4918830394744873,0.6403347253799438,0.9138506650924683,0.13422222222222221,1298,2872,509,355,0.23769444444444446,0.7569722222222223,0.9193611111111112,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.2859090909090909,0.3242857142857143,-0.0383766233766234,early
0.45,joint,static,l1_unstructured,0.17319443821907043,0.17319443821907043,0.3630555555555556,0.8543055555555555,0.30387330941367396,3.862262010574341,0.5699052810668945,0.8814033269882202,0.0985,1367,3537,595,454,0.2021388888888889,0.775763888888889,0.9300277777777779,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.16113636363636363,0.19214285714285714,-0.03100649350649351,early
0.5,joint,static,l1_unstructured,0.06541666388511658,0.06541666388511658,0.18597222222222223,0.8194444444444444,0.16123183316868003,4.210588455200195,0.4249173700809479,0.8274943828582764,0.06094444444444445,868,4561,796,504,0.1350416666666667,0.7613194444444445,0.9245416666666668,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.03568181818181818,0.11214285714285714,-0.07646103896103895,early
0.55,joint,static,l1_unstructured,0.037361111491918564,0.037361111491918564,0.12833333333333333,0.8181944444444444,0.10815242468828093,4.743041515350342,0.29061105847358704,0.7876849174499512,0.04116666666666667,655,4967,809,500,0.10044444444444445,0.7627222222222223,0.9296944444444445,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.010227272727272727,0.08,-0.06977272727272728,early
0.6,joint,static,l1_unstructured,0.01875000074505806,0.01875000074505806,0.09513888888888888,0.8188888888888889,0.08172198030306826,5.483706951141357,0.2391328662633896,0.6859457492828369,0.03336111111111111,550,5211,785,519,0.08158333333333334,0.7463194444444444,0.8755972222222224,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.008636363636363636,0.03464285714285714,-0.026006493506493505,early
0.65,joint,static,l1_unstructured,0.017222221940755844,0.017222221940755844,0.0948611111111111,0.8241666666666667,0.07750723995308773,5.868385314941406,0.21610073745250702,0.6158175468444824,0.029472222222222223,559,5251,766,500,0.078,0.7800833333333334,0.9244861111111111,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.018863636363636364,0.014642857142857143,0.0042207792207792205,early
0.7,joint,static,l1_unstructured,0.010277777910232544,0.010277777910232544,0.058333333333333334,0.8194444444444444,0.06609091440419924,6.050717353820801,0.2311345338821411,0.5729051232337952,0.02613888888888889,346,5480,800,500,0.08055555555555556,0.786763888888889,0.9041944444444445,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.007727272727272728,0.014285714285714285,-0.006558441558441558,early
0.75,joint,static,l1_unstructured,0.013888888992369175,0.013888888992369175,0.13875,0.8194444444444444,0.06763554425234929,6.121100902557373,0.1797807216644287,0.536685585975647,0.022111111111111113,899,4901,800,500,0.10061111111111111,0.8052222222222223,0.9177500000000001,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.022727272727272728,0.0,0.022727272727272728,early
0.8,joint,static,l1_unstructured,0.013888888992369175,0.013888888992369175,0.041666666666666664,0.8193055555555555,0.06825095537505045,6.138703346252441,0.18163280189037323,0.6168739199638367,0.02047222222222222,200,5599,800,501,0.07863888888888888,0.6664722222222222,0.758013888888889,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.0,0.03571428571428571,-0.03571428571428571,early
0.85,joint,static,l1_unstructured,0.012222222052514553,0.012222222052514553,0.1213888888888889,0.8194444444444444,0.0652258624685417,6.15684700012207,0.18478240072727203,0.5835631489753723,0.0195,786,5026,800,500,0.07933333333333334,0.6769166666666668,0.8462222222222223,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.018863636363636364,0.0017857142857142857,0.017077922077922077,early
0.9,joint,static,l1_unstructured,0.014166667126119137,0.014166667126119137,0.030416666666666668,0.8194444444444444,0.06751786935777669,6.162578105926514,0.16380803287029266,0.5939391851425171,0.017916666666666668,117,5681,800,500,0.05913888888888888,0.7011111111111112,0.7984861111111111,0.0075,0.060655239510024245,1.6724215745925903,4400,2800,0.00045454545454545455,0.03571428571428571,-0.035259740259740255,early
