pruning_level,scenario,masking_mode,pruning_method,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,semantic_entropy,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse,top10_coordinate_ratio,top10_superordinate_ratio,top10_domain_ratio,n_typical,n_atypical,acc_typical,acc_atypical,delta_typicality,depth_zone
0.0,joint,static,l1_unstructured,0.5556944608688354,0.5556944608688354,0.7265277777777778,0.9356944444444445,0.6713155143139147,1.9807963371276855,1.0,1.0,1.0,1230,1506,224,239,0.3061111111111111,0.8252083333333333,0.9221944444444444,4400,2800,0.5459090909090909,0.5710714285714286,-0.025162337662337664,middle
0.05,joint,static,l1_unstructured,0.5536110997200012,0.5536110997200012,0.7283333333333334,0.9355555555555556,0.6702104663598794,1.980193853378296,0.9995445609092712,0.9999732375144958,0.9446666666666668,1258,1492,220,244,0.30637499999999995,0.8253055555555556,0.9221944444444446,4400,2800,0.5443181818181818,0.5682142857142857,-0.02389610389610386,middle
0.1,joint,static,l1_unstructured,0.5523611307144165,0.5523611307144165,0.7272222222222222,0.9354166666666667,0.6693822677740577,2.0026752948760986,0.9950952529907227,0.9998216032981873,0.8439444444444444,1259,1499,218,247,0.3060138888888889,0.8235277777777779,0.9217083333333334,4400,2800,0.5452272727272728,0.5635714285714286,-0.01834415584415583,middle
0.15,joint,static,l1_unstructured,0.5472221970558167,0.5472221970558167,0.7208333333333333,0.9347222222222222,0.6658433395873983,2.0562877655029297,0.9835010766983032,0.9993941783905029,0.729,1250,1540,226,244,0.30533333333333335,0.8196805555555556,0.9217222222222222,4400,2800,0.5413636363636364,0.5564285714285714,-0.015064935064935003,middle
0.2,joint,static,l1_unstructured,0.5340277552604675,0.5340277552604675,0.7102777777777778,0.9341666666666667,0.6560910448556989,2.1069185733795166,0.9625214338302612,0.9985347390174866,0.6079166666666667,1269,1612,227,247,0.3069722222222222,0.8223055555555556,0.9249444444444445,4400,2800,0.5284090909090909,0.5428571428571428,-0.014448051948051877,middle
0.25,joint,static,l1_unstructured,0.5070833563804626,0.5070833563804626,0.6902777777777778,0.9272222222222222,0.630842441460989,2.235534191131592,0.9328316450119019,0.9964712262153625,0.5058888888888889,1319,1706,261,263,0.30526388888888883,0.8217222222222221,0.9245277777777778,4400,2800,0.49886363636363634,0.52,-0.021136363636363675,middle
0.3,joint,static,l1_unstructured,0.44111111760139465,0.44111111760139465,0.6343055555555556,0.9248611111111111,0.5782277286685874,2.299333333969116,0.898884117603302,0.9932863116264343,0.4093611111111112,1391,2092,279,262,0.2931805555555555,0.8287777777777778,0.9279305555555556,4400,2800,0.4197727272727273,0.47464285714285714,-0.05487012987012985,middle
0.35,joint,static,l1_unstructured,0.3958333432674408,0.3958333432674408,0.5915277777777778,0.9202777777777778,0.5349526717866494,2.5561721324920654,0.8440817594528198,0.988580048084259,0.31552777777777774,1409,2367,308,266,0.28565277777777776,0.8227777777777778,0.9287222222222222,4400,2800,0.3547727272727273,0.46035714285714285,-0.10558441558441556,middle
0.4,joint,static,l1_unstructured,0.3311111032962799,0.3311111032962799,0.5004166666666666,0.9016666666666666,0.4714666186421191,2.80751895904541,0.7546774744987488,0.980087161064148,0.22202777777777777,1219,2889,390,318,0.2621388888888889,0.8171666666666668,0.93075,4400,2800,0.2888636363636364,0.3975,-0.10863636363636364,middle
0.45,joint,static,l1_unstructured,0.269305557012558,0.269305557012558,0.44208333333333333,0.8777777777777778,0.3991867864354342,3.573803663253784,0.5983683466911316,0.9669498801231384,0.13427777777777777,1244,3137,506,374,0.22436111111111112,0.7859861111111112,0.928,4400,2800,0.22795454545454547,0.3342857142857143,-0.10633116883116883,middle
