pruning_level,i2t_top1,top1_specific_acc,top1_coordinate_acc,top1_super_acc,mrr,cka_vision,cka_text,npr_vision,coordinate error,superordinate error,domain error,domain collapse
0.0,0.8861538171768188,0.8861538171768188,0.8861538461538462,0.9415384615384615,0.9327594627594629,1.0,1.0,1.0,0,18,4,15
0.05,0.8861538171768188,0.8861538171768188,0.8861538461538462,0.9446153846153846,0.9319352869352869,0.9971168637275696,0.9998436570167542,0.9132307692307692,0,19,4,14
0.1,0.9076923131942749,0.9076923131942749,0.9076923076923077,0.9476923076923077,0.9432307692307691,0.9351917505264282,0.9992579221725464,0.6486153846153846,0,13,5,12
0.15,0.873846173286438,0.873846173286438,0.8738461538461538,0.9353846153846154,0.9166557886557887,0.8479957580566406,0.9979342818260193,0.5033846153846154,0,20,6,15
0.2,0.818461537361145,0.818461537361145,0.8184615384615385,0.9138461538461539,0.8801477411477411,0.7530583143234253,0.997309684753418,0.36615384615384616,0,31,7,21
0.25,0.6800000071525574,0.6800000071525574,0.68,0.8430769230769231,0.7815712407250869,0.6336619257926941,0.9941394925117493,0.24676923076923077,0,53,19,32
0.3,0.5353845953941345,0.5353845953941345,0.5353846153846153,0.6953846153846154,0.6624589769205154,0.49628496170043945,0.9906932711601257,0.17661538461538462,0,52,33,66
0.35,0.372307687997818,0.372307687997818,0.3723076923076923,0.556923076923077,0.5438170120477812,0.4021860361099243,0.9816679358482361,0.12184615384615384,0,60,39,105
0.4,0.20615383982658386,0.20615383982658386,0.20615384615384616,0.37846153846153846,0.3908069110376803,0.3686666190624237,0.946574866771698,0.08738461538461538,0,56,28,174
0.45,0.17846153676509857,0.17846153676509857,0.17846153846153845,0.3723076923076923,0.3486134463826771,0.30017754435539246,0.9377777576446533,0.09107692307692308,0,63,29,175
0.5,0.16923077404499054,0.16923077404499054,0.16923076923076924,0.5046153846153846,0.3225977355977356,0.27122563123703003,0.8473777770996094,0.0916923076923077,0,109,19,142
0.55,0.0923076942563057,0.0923076942563057,0.09230769230769231,0.4430769230769231,0.2621628286243671,0.23337474465370178,0.7694368362426758,0.08615384615384615,0,114,46,135
0.6,0.06461538374423981,0.06461538374423981,0.06461538461538462,0.40615384615384614,0.2401311423619116,0.2017287164926529,0.7841756939888,0.08246153846153846,0,111,55,138
0.65,0.07692307978868484,0.07692307978868484,0.07692307692307693,0.46153846153846156,0.2480163255547871,0.18650636076927185,0.6909730434417725,0.08246153846153846,0,125,50,125
0.7,0.08923076838254929,0.08923076838254929,0.08923076923076922,0.49230769230769234,0.2538094128094128,0.1687464863061905,0.7966321706771851,0.06461538461538462,0,131,47,118
0.75,0.07999999821186066,0.07999999821186066,0.08,0.4123076923076923,0.2433939735478197,0.14369599521160126,0.7938815355300903,0.06215384615384616,0,108,17,174
0.8,0.07384615391492844,0.07384615391492844,0.07384615384615385,0.4123076923076923,0.24593758378373765,0.12488947808742523,0.8159229755401611,0.06276923076923077,0,110,5,186
0.85,0.07692307978868484,0.07692307978868484,0.07692307692307693,0.38461538461538464,0.24368987422833574,0.1173701360821724,0.7837576866149902,0.05969230769230769,0,100,0,200
0.9,0.07692307978868484,0.07692307978868484,0.07692307692307693,0.46153846153846156,0.238293783139937,0.11338049173355103,0.656036376953125,0.05846153846153846,0,125,50,125
